Household_ID;Group;AffectsTimePoint;Timestamp;kWh_received_Total;kWh_received_HeatPump;kWh_received_Other;kWh_returned_Total;kvarh_received_capacitive_Total;kvarh_received_capacitive_HeatPump;kvarh_received_capacitive_Other;kvarh_received_inductive_Total;kvarh_received_inductive_HeatPump;kvarh_received_inductive_Other
2794690;treatment;before visit;2020-06-06 23:59:59+00:00;19.83;;;;1.65;;;0.54;;
2794690;treatment;before visit;2020-06-07 23:59:59+00:00;13.35;;;;1.93;;;0.26;;
2794690;treatment;before visit;2020-06-08 23:59:59+00:00;18.16;;;;1.42;;;1.19;;
2794690;treatment;before visit;2020-06-09 23:59:59+00:00;11.36;;;;1.88;;;0.23;;
2794690;treatment;before visit;2020-06-10 23:59:59+00:00;13.87;;;;1.7;;;0.25;;
2794690;treatment;before visit;2020-06-11 23:59:59+00:00;9.64;;;;1.72;;;0.3;;
2794690;treatment;before visit;2020-06-12 23:59:59+00:00;16.27;;;;1.43;;;0.45;;
2794690;treatment;before visit;2020-06-13 23:59:59+00:00;11.36;;;;1.3;;;0.3;;
2794690;treatment;before visit;2020-06-14 23:59:59+00:00;9.78;;;;1.48;;;0.36;;
2794690;treatment;before visit;2020-06-15 23:59:59+00:00;17.36;;;;0.9;;;1.26;;
2794690;treatment;before visit;2020-06-16 23:59:59+00:00;7.4;;;;1.77;;;0.27;;
2794690;treatment;before visit;2020-06-17 23:59:59+00:00;10.48;;;;1.57;;;0.33;;
2794690;treatment;before visit;2020-06-18 23:59:59+00:00;7.64;;;;1.65;;;0.25;;
2794690;treatment;before visit;2020-06-19 23:59:59+00:00;11.61;;;;1.74;;;0.19;;
2794690;treatment;before visit;2020-06-20 23:59:59+00:00;15.36;;;;1.93;;;0.21;;
2794690;treatment;before visit;2020-06-21 23:59:59+00:00;7.68;;;;1.74;;;0.18;;
2794690;treatment;before visit;2020-06-22 23:59:59+00:00;18.92;;;;1.22;;;1.32;;
2794690;treatment;before visit;2020-06-23 23:59:59+00:00;7.27;;;;2.04;;;0.16;;
2794690;treatment;before visit;2020-06-24 23:59:59+00:00;10.15;;;;1.66;;;0.22;;
2794690;treatment;before visit;2020-06-25 23:59:59+00:00;9.48;;;;1.81;;;0.24;;
2794690;treatment;before visit;2020-06-26 23:59:59+00:00;7.84;;;;2.31;;;0.16;;
2794690;treatment;before visit;2020-06-27 23:59:59+00:00;13.19;;;;1.51;;;0.4;;
2794690;treatment;before visit;2020-06-28 23:59:59+00:00;9.89;;;;1.64;;;0.22;;
2794690;treatment;before visit;2020-06-29 23:59:59+00:00;20.88;;;;0.87;;;1.83;;
2794690;treatment;before visit;2020-06-30 23:59:59+00:00;6.86;;;;2.06;;;0.23;;
2794690;treatment;before visit;2020-07-01 23:59:59+00:00;10.27;;;;1.69;;;0.41;;
2794690;treatment;before visit;2020-07-02 23:59:59+00:00;9.29;;;;1.85;;;0.25;;
2794690;treatment;before visit;2020-07-03 23:59:59+00:00;7.6;;;;1.82;;;0.28;;
2794690;treatment;before visit;2020-07-04 23:59:59+00:00;12.83;;;;1.59;;;0.43;;
2794690;treatment;before visit;2020-07-05 23:59:59+00:00;10.87;;;;1.2;;;0.58;;
2794690;treatment;before visit;2020-07-06 23:59:59+00:00;20.67;;;;0.81;;;1.99;;
2794690;treatment;before visit;2020-07-07 23:59:59+00:00;9.1;;;;1.61;;;0.36;;
2794690;treatment;before visit;2020-07-08 23:59:59+00:00;15.31;;;;0.01;;;1.08;;
2794690;treatment;before visit;2020-07-09 23:59:59+00:00;13.13;;;;0.36;;;0.86;;
2794690;treatment;before visit;2020-07-10 23:59:59+00:00;10.86;;;;1.29;;;0.34;;
2794690;treatment;before visit;2020-07-14 23:59:59+00:00;5.07;;;;1.66;;;0.22;;
2794690;treatment;before visit;2020-07-15 23:59:59+00:00;8.35;;;;1.61;;;0.27;;
2794690;treatment;before visit;2020-07-16 23:59:59+00:00;13.68;;;;1.25;;;0.52;;
2794690;treatment;before visit;2020-07-17 23:59:59+00:00;10.93;;;;1.43;;;0.28;;
2794690;treatment;before visit;2020-07-18 23:59:59+00:00;13.99;;;;1.22;;;0.46;;
2794690;treatment;before visit;2020-07-19 23:59:59+00:00;8.77;;;;1.01;;;0.83;;
2794690;treatment;before visit;2020-07-20 23:59:59+00:00;15.13;;;;0.9;;;1.25;;
2794690;treatment;before visit;2020-07-21 23:59:59+00:00;7.13;;;;1.68;;;0.2;;
2794690;treatment;before visit;2020-07-22 23:59:59+00:00;11.06;;;;1.41;;;0.42;;
2794690;treatment;before visit;2020-07-23 23:59:59+00:00;5.11;;;;1.52;;;0.31;;
2794690;treatment;before visit;2020-07-24 23:59:59+00:00;5.32;;;;1.5;;;0.26;;
2794690;treatment;before visit;2020-07-25 23:59:59+00:00;3.95;;;;1.48;;;0.28;;
2794690;treatment;before visit;2020-07-26 23:59:59+00:00;8.04;;;;1.34;;;0.46;;
2794690;treatment;before visit;2020-07-27 23:59:59+00:00;16.93;;;;0.65;;;2.3;;
2794690;treatment;before visit;2020-07-28 23:59:59+00:00;7.77;;;;1.37;;;0.53;;
2794690;treatment;before visit;2020-07-29 23:59:59+00:00;11.91;;;;1.07;;;0.92;;
2794690;treatment;before visit;2020-07-30 23:59:59+00:00;12.87;;;;0.17;;;1.32;;
2794690;treatment;before visit;2020-07-31 23:59:59+00:00;7.81;;;;1.25;;;0.5;;
2794690;treatment;before visit;2020-08-01 23:59:59+00:00;11.3;;;;0.99;;;0.8;;
2794690;treatment;before visit;2020-08-02 23:59:59+00:00;10.61;;;;1.46;;;0.34;;
2794690;treatment;before visit;2020-08-03 23:59:59+00:00;8.79;;;;1.44;;;0.41;;
2794690;treatment;before visit;2020-08-04 23:59:59+00:00;14.8;;;;1.01;;;1.01;;
2794690;treatment;before visit;2020-08-05 23:59:59+00:00;8.12;;;;1.36;;;0.36;;
2794690;treatment;before visit;2020-08-06 23:59:59+00:00;10.6;;;;1.35;;;0.49;;
2794690;treatment;before visit;2020-08-07 23:59:59+00:00;6.97;;;;1.06;;;0.73;;
2794690;treatment;before visit;2020-08-08 23:59:59+00:00;12.9;;;;0.84;;;0.89;;
2794690;treatment;before visit;2020-08-09 23:59:59+00:00;12.35;;;;0.98;;;0.85;;
2794690;treatment;before visit;2020-08-10 23:59:59+00:00;11.71;;;;1.36;;;0.37;;
2794690;treatment;before visit;2020-08-11 23:59:59+00:00;5.47;;;;1.89;;;0.3;;
2794690;treatment;before visit;2020-08-12 23:59:59+00:00;9.0;;;;1.44;;;0.43;;
2794690;treatment;before visit;2020-08-13 23:59:59+00:00;11.31;;;;1.37;;;0.39;;
2794690;treatment;before visit;2020-08-14 23:59:59+00:00;6.41;;;;1.48;;;0.33;;
2794690;treatment;before visit;2020-08-15 23:59:59+00:00;11.79;;;;0.96;;;0.75;;
2794690;treatment;before visit;2020-08-16 23:59:59+00:00;6.24;;;;1.26;;;0.52;;
2794690;treatment;before visit;2020-08-17 23:59:59+00:00;9.38;;;;1.9;;;0.18;;
2794690;treatment;before visit;2020-08-18 23:59:59+00:00;7.11;;;;2.05;;;0.14;;
2794690;treatment;before visit;2020-08-19 23:59:59+00:00;10.92;;;;1.71;;;0.23;;
2794690;treatment;before visit;2020-08-20 23:59:59+00:00;11.11;;;;1.44;;;0.41;;
2794690;treatment;before visit;2020-08-21 23:59:59+00:00;9.59;;;;1.25;;;0.8;;
2794690;treatment;before visit;2020-08-22 23:59:59+00:00;7.88;;;;1.53;;;0.49;;
2794690;treatment;before visit;2020-08-23 23:59:59+00:00;11.5;;;;1.39;;;0.46;;
2794690;treatment;before visit;2020-08-24 23:59:59+00:00;14.33;;;;1.34;;;0.98;;
2794690;treatment;before visit;2020-08-25 23:59:59+00:00;6.53;;;;1.73;;;0.44;;
2794690;treatment;before visit;2020-08-26 23:59:59+00:00;10.46;;;;1.6;;;0.41;;
2794690;treatment;before visit;2020-08-27 23:59:59+00:00;8.96;;;;1.57;;;0.54;;
2794690;treatment;before visit;2020-08-28 23:59:59+00:00;12.02;;;;1.55;;;0.53;;
2794690;treatment;before visit;2020-08-29 23:59:59+00:00;12.64;;;;1.53;;;0.52;;
2794690;treatment;before visit;2020-08-30 23:59:59+00:00;10.84;;;;1.37;;;0.55;;
2794690;treatment;before visit;2020-08-31 23:59:59+00:00;22.05;;;;0.5;;;2.37;;
2794690;treatment;before visit;2020-09-01 23:59:59+00:00;7.37;;;;1.49;;;0.53;;
2794690;treatment;before visit;2020-09-02 23:59:59+00:00;10.44;;;;1.48;;;0.42;;
2794690;treatment;before visit;2020-09-03 23:59:59+00:00;12.45;;;;1.51;;;0.52;;
2794690;treatment;before visit;2020-09-04 23:59:59+00:00;10.83;;;;1.82;;;0.36;;
2794690;treatment;before visit;2020-09-05 23:59:59+00:00;11.45;;;;1.39;;;0.48;;
2794690;treatment;before visit;2020-09-06 23:59:59+00:00;19.99;;;;0.88;;;1.62;;
2794690;treatment;before visit;2020-09-07 23:59:59+00:00;25.25;;;;0.57;;;2.68;;
