Household_ID;SMD_daily_TimeAvailable_EarliestTimestamp;SMD_daily_TimeAvailable_LatestTimestamp;SMD_daily_TimeAvailable_NumberDays;SMD_daily_TimeAvailable_DaysBeforeVisit;SMD_daily_TimeAvailable_DaysAfterVisit;SMD_daily_MeasurementsAvailable_Total;SMD_daily_MeasurementsAvailable_HeatPump;SMDdaily_MeasurementsAvailable_Other;SMDdaily_MeasurementsAvailable_kWh_received;SMDdaily_MeasurementsAvailable_kWh_returned;SMDdaily_MeasurementsAvailable_kvarh_received_capacitive;SMDdaily_MeasurementsAvailable_kvarh_received_inductive
100119;2021-03-26 23:59:59+00:00;2024-03-20 23:59:59+00:00;1091;846;244;True;False;False;True;False;True;True
100120;2022-01-28 23:59:59+00:00;2024-03-20 23:59:59+00:00;783;684;98;True;False;False;True;False;True;True
103721;2020-08-12 23:59:59+00:00;2021-01-07 23:59:59+00:00;149;149;0;True;False;False;True;False;True;True
104118;2021-07-03 23:59:59+00:00;2024-03-20 23:59:59+00:00;992;873;118;True;False;False;True;False;True;True
105714;2022-05-11 23:59:59+00:00;2024-03-20 23:59:59+00:00;680;573;106;True;False;False;True;False;True;True
105900;2020-10-26 23:59:59+00:00;2021-01-07 23:59:59+00:00;74;0;74;True;False;False;True;False;True;True
106100;2022-02-02 23:59:59+00:00;2024-03-20 23:59:59+00:00;778;259;518;True;False;False;True;False;True;True
107114;2018-11-02 23:59:59+00:00;2020-03-17 23:59:59+00:00;498;498;0;True;False;False;True;False;False;False
107461;2021-11-04 23:59:59+00:00;2024-03-20 23:59:59+00:00;863;349;513;True;False;False;True;False;True;True
108511;2018-11-02 23:59:59+00:00;2023-09-06 23:59:59+00:00;1770;1165;604;True;True;True;True;False;False;False
108987;2020-11-12 23:59:59+00:00;2024-03-20 23:59:59+00:00;1223;642;580;True;False;False;True;False;True;True
109104;2024-02-28 23:59:59+00:00;2024-03-20 23:59:59+00:00;22;0;22;True;False;False;True;False;True;True
109711;2021-11-09 23:59:59+00:00;2024-03-20 23:59:59+00:00;863;0;863;True;False;False;True;True;True;True
111119;2018-11-02 23:59:59+00:00;2019-11-19 23:59:59+00:00;383;383;0;True;False;False;True;False;False;False
111901;2021-11-25 23:59:59+00:00;2024-03-20 23:59:59+00:00;847;803;43;True;False;False;True;False;True;True
112120;2022-02-03 23:59:59+00:00;2024-03-20 23:59:59+00:00;777;382;394;True;False;False;True;True;True;True
112691;2021-10-10 23:59:59+00:00;2024-03-20 23:59:59+00:00;893;837;55;True;False;False;True;True;True;True
112810;2021-03-25 23:59:59+00:00;2024-03-20 23:59:59+00:00;1090;461;628;True;False;False;True;True;True;True
114721;2018-11-02 23:59:59+00:00;2019-12-02 23:59:59+00:00;396;396;0;True;False;False;True;False;False;False
114798;2020-08-11 23:59:59+00:00;2020-12-16 23:59:59+00:00;128;128;0;True;False;False;True;False;True;True
116121;2018-11-02 23:59:59+00:00;2020-08-04 23:59:59+00:00;642;642;0;True;False;False;True;False;False;False
118117;2020-10-27 23:59:59+00:00;2021-01-19 23:59:59+00:00;85;85;0;True;False;False;True;False;True;True
118708;2020-04-03 23:59:59+00:00;2020-05-03 23:59:59+00:00;31;31;0;True;False;False;True;False;False;False
119498;2021-02-04 23:59:59+00:00;2024-03-20 23:59:59+00:00;1141;1022;118;True;False;False;True;False;True;True
120701;2021-05-06 23:59:59+00:00;2024-03-13 23:59:59+00:00;1043;0;1043;True;False;False;True;True;True;True
120741;2018-11-02 23:59:59+00:00;2020-11-06 23:59:59+00:00;736;736;0;True;False;False;True;False;False;False
121728;2018-11-02 23:59:59+00:00;2019-02-28 23:59:59+00:00;119;119;0;True;False;False;True;False;False;False
121887;2022-05-24 23:59:59+00:00;2024-03-20 23:59:59+00:00;658;239;418;True;False;False;True;False;True;True
122671;2023-01-13 23:59:59+00:00;2024-03-20 23:59:59+00:00;433;329;103;True;False;False;True;False;True;True
122850;2020-06-11 23:59:59+00:00;2021-01-08 23:59:59+00:00;209;209;0;True;False;False;True;False;True;True
122887;2021-01-26 23:59:59+00:00;2021-02-24 23:59:59+00:00;30;30;0;True;False;False;True;False;True;True
190821;2020-05-07 23:59:59+00:00;2020-08-12 23:59:59+00:00;95;0;95;True;False;False;True;True;True;True
310610;2020-11-25 23:59:59+00:00;2021-01-07 23:59:59+00:00;44;44;0;True;False;False;True;False;True;True
412211;2023-09-08 23:59:59+00:00;2024-03-19 23:59:59+00:00;194;0;194;True;False;False;True;False;True;True
