Household_ID;Group;Weather_ID;Installation_HasPVSystem;Protocols_Available;Protocols_HasMultipleVisits;Protocols_ReportIDs;MetaData_Available;SmartMeterData_Available_15min;SmartMeterData_Available_Daily;SmartMeterData_Available_Monthly
661091;treatment;MqO;False;True;False;[29];True;True;True;True
120701;treatment;Hg;True;True;False;[32];True;True;True;True
412211;treatment;Hg;False;True;False;[40];True;True;True;True
1078861;treatment;8jB;True;True;False;[138];True;True;True;True
190821;treatment;Hg;True;True;False;[139];True;True;True;True
1228011;treatment;8jB;False;True;False;[156];True;True;True;False
758039;treatment;Hg;False;True;False;[159];False;True;True;True
1137376;treatment;8jB;False;True;False;[166];True;True;True;True
1191127;treatment;z6I;True;True;False;[169];True;True;True;True
680861;treatment;Hg;False;True;False;[178];True;True;True;True
761079;treatment;Hg;False;True;False;[182];False;True;True;True
461089;treatment;Hg;False;True;False;[184];False;True;True;True
107114;treatment;Hg;False;True;False;[187];False;True;True;True
109711;treatment;8jB;True;True;False;[190];True;True;True;True
105900;treatment;MqO;False;True;False;[202];True;True;True;True
826780;treatment;Hg;True;True;False;[204];True;True;True;True
6683113;treatment;ceOxS;False;True;False;[213];True;True;True;True
896968;treatment;Hg;True;True;False;[214];True;True;True;True
9981041;treatment;z6I;True;True;False;[216];True;True;True;True
118117;treatment;MqO;False;True;False;[222];True;True;True;True
6981151;treatment;z6I;False;True;False;[224];True;True;True;True
9889190;treatment;Hg;False;True;False;[230];True;True;True;True
6808461;treatment;Hg;False;True;False;[231];True;True;True;True
747511;treatment;wDD;False;True;False;[232];True;True;True;True
6773102;treatment;8jB;False;True;False;[233];True;True;True;True
4710670;treatment;Hg;True;True;False;[234];True;True;True;True
716869;treatment;sV3mR;False;True;False;[235];True;True;True;True
781099;treatment;wDD;False;True;False;[237];True;True;True;True
8010411;treatment;z6I;False;True;False;[239];True;True;True;True
7086681;treatment;Hg;False;True;False;[241];True;True;True;False
868122;treatment;Hg;False;True;False;[242];True;True;True;True
881223;treatment;sV3mR;False;True;False;[245];True;True;True;False
118708;treatment;Hg;False;True;False;[247];True;True;True;False
1037610;treatment;8jB;False;True;False;[248];True;True;True;True
6885841;treatment;8jB;False;True;False;[249];True;True;True;True
2794690;treatment;8jB;False;True;False;[250];True;True;True;True
111119;treatment;Hg;False;True;True;[251, 372];True;True;True;True
7374981;treatment;MqO;True;True;False;[253];True;True;True;True
861116;treatment;ceOxS;True;True;False;[254];True;True;True;True
108511;treatment;Hg;False;True;False;[256];True;True;True;True
1037311;treatment;Hg;False;True;False;[260];True;True;True;True
768498;treatment;Hg;False;True;False;[261];True;True;True;True
116121;treatment;wDD;False;True;False;[262];True;True;True;True
120741;treatment;Hg;False;True;False;[263];True;True;True;True
114721;treatment;Hg;False;True;False;[264];True;True;True;True
971071;treatment;Hg;False;True;False;[267];True;True;True;True
121728;treatment;Hg;False;True;False;[268];True;True;True;True
114798;treatment;8jB;False;True;False;[269];True;True;True;True
1081057;treatment;8jB;False;True;False;[270];True;True;True;True
9776611;treatment;8jB;False;True;False;[271];True;True;True;True
996610;treatment;8jB;False;True;False;[272];True;True;True;True
512280;treatment;wDD;False;True;False;[274];True;True;True;True
7710511;treatment;z6I;False;True;False;[275];True;True;True;True
823761;treatment;Hg;False;True;False;[277];True;True;True;True
1101758;treatment;Hg;False;True;False;[280];True;True;True;True
1061168;treatment;HbsbG;False;True;False;[281];True;True;True;True
808112;treatment;z6I;False;True;False;[282];True;True;True;True
1019970;treatment;Hg;False;True;False;[283];True;True;True;True
1148611;treatment;Hg;True;True;False;[284];True;True;True;True
7048688;treatment;Hg;True;True;False;[285];True;True;True;True
109104;treatment;Hg;False;True;False;[287];True;True;True;False
468646;treatment;z6I;False;True;False;[288];False;True;True;True
768113;treatment;wDD;True;True;False;[292];True;True;True;True
122850;treatment;8jB;False;True;False;[293];True;True;True;True
461104;treatment;8jB;False;True;False;[294];True;True;True;False
112810;treatment;Hg;True;True;False;[296];True;True;True;True
610891;treatment;8jB;False;True;False;[297];True;True;True;True
858577;treatment;8jB;False;True;False;[298];True;True;True;True
8399121;treatment;MqO;False;True;False;[299];False;True;True;True
108987;treatment;MqO;False;True;False;[301];False;True;True;True
788488;treatment;MqO;False;True;False;[302];True;True;True;True
7099511;treatment;Hg;False;True;False;[303];False;True;True;True
865116;treatment;HbsbG;True;True;False;[304];True;True;True;True
991118;treatment;Hg;False;True;False;[305];True;True;True;True
816910;treatment;MqO;False;True;False;[306];False;True;True;True
1001228;treatment;z6I;False;True;False;[307];True;True;True;True
107461;treatment;8jB;False;True;False;[308];True;True;True;True
106100;treatment;8jB;False;True;False;[309];True;True;True;True
5845834;treatment;8jB;False;True;False;[310];True;True;True;True
1111201;treatment;8jB;True;True;False;[311];True;True;True;False
8612210;treatment;8jB;True;True;False;[312];False;True;True;True
