Household_ID;Survey_Building_Type;Survey_Building_LivingArea;Survey_Building_Residents;Survey_HeatPump_Installation_Type;Survey_HeatDistribution_System_FloorHeating;Survey_HeatDistribution_System_Radiator;Survey_DHW_Production_ByHeatPump;Survey_DHW_Production_ByElectricWaterHeater;Survey_DHW_Production_BySolar;Survey_Installation_HasDryer;Survey_Installation_HasFreezer;Survey_Installation_HasElectricVehicle
100119;house;130.0;3.0;ground-source;True;False;;True;;True;True;
100120;house;130.0;2.0;air-source;False;True;True;;;False;True;
103721;house;160.0;2.0;ground-source;True;False;True;;;True;True;
104118;house;155.0;3.0;ground-source;True;False;;True;;True;True;
105714;house;140.0;3.0;air-source;True;False;True;;;False;True;
105900;house;220.0;5.0;air-source;True;False;True;;;True;True;
106100;house;160.0;2.0;air-source;True;False;True;;;False;True;
107461;house;120.0;2.0;air-source;True;False;;True;;True;True;
108511;house;180.0;4.0;air-source;True;False;;True;;False;True;True
109104;house;110.0;5.0;air-source;False;True;;True;;True;True;
109711;house;200.0;2.0;ground-source;True;False;;True;;False;True;
111119;house;148.0;2.0;air-source;;;True;;;False;True;
111901;house;400.0;2.0;air-source;False;True;;True;;True;False;
112120;house;136.0;2.0;air-source;True;False;True;;;True;True;
112691;house;170.0;2.0;air-source;True;False;True;;;False;True;
112810;house;170.0;4.0;air-source;True;False;True;;;True;True;
114721;house;200.0;2.0;air-source;True;True;True;;;True;True;
114798;house;276.0;3.0;ground-source;False;True;True;;;True;True;True
116121;house;395.0;2.0;air-source;False;True;;True;;False;True;True
118117;house;180.0;2.0;ground-source;True;False;;True;;False;True;
118708;house;157.0;2.0;ground-source;True;False;True;;;True;True;True
119498;house;131.0;5.0;air-source;True;False;True;;;True;True;
120701;house;176.0;2.0;ground-source;True;False;True;;;True;True;
120741;house;140.0;2.0;air-source;True;False;True;;;False;True;
121728;house;160.0;2.0;air-source;;;True;;;True;False;
121887;house;200.0;4.0;air-source;True;False;True;;;True;True;
122671;house;300.0;4.0;air-source;True;True;True;;;True;True;
122850;house;188.0;1.0;ground-source;True;False;;True;;True;True;
122887;house;232.0;3.0;air-source;True;False;True;;;True;True;True
190821;house;160.0;4.0;air-source;;;;;True;True;False;
310610;house;160.0;2.0;air-source;True;False;True;;;True;True;
412211;house;300.0;2.0;air-source;True;False;;True;;True;True;
417510;house;180.0;4.0;air-source;True;False;True;;;True;True;True
461104;house;200.0;2.0;air-source;True;False;True;;;True;True;
461158;house;224.0;2.0;ground-source;True;False;;True;;True;True;
468980;house;130.0;2.0;air-source;False;True;;;True;False;True;
477661;house;180.0;4.0;air-source;True;False;;True;;False;True;
512280;house;250.0;4.0;ground-source;True;False;True;;;True;True;
610891;house;300.0;4.0;air-source;True;False;True;;;True;True;
611629;house;98.0;2.0;air-source;False;True;True;;;True;True;True
658466;house;142.0;2.0;ground-source;True;False;True;;;True;False;
661091;house;165.0;2.0;ground-source;True;True;;True;;False;True;
669010;house;180.0;2.0;air-source;True;False;;True;;True;True;
679810;house;130.0;2.0;ground-source;True;False;True;;;False;True;True
680861;house;450.0;4.0;air-source;;;True;;;True;True;
698983;house;200.0;3.0;air-source;False;True;;True;;True;True;
699801;house;224.0;2.0;air-source;True;False;True;;;True;True;
