Weather_ID;Timestamp;Temperature_avg_hourly;DewPoint_hourly;Humidity_avg_hourly;Precipitation_total_hourly;Pressure_BarometricHeight_avg_hourly;Pressure_SeaLevelStandardAtmosphere_avg_hourly;Pressure_SeaLevel_avg_hourly;Sunshine_duration_hourly;WindSpeed_hourly
MqO;2019-01-01 00:00:00+00:00;0.8;0.6;100.0;0.0;925.5;1031.9;;0.0;0.4
MqO;2019-01-01 01:00:00+00:00;0.3;0.0;100.0;0.0;925.5;1031.9;;0.0;0.6
MqO;2019-01-01 02:00:00+00:00;-0.2;-0.1;100.0;0.0;925.9;1032.3;;0.0;0.6
MqO;2019-01-01 03:00:00+00:00;-0.4;-0.8;100.0;0.0;925.8;1032.2;;0.0;0.9
MqO;2019-01-01 04:00:00+00:00;-1.5;-1.7;100.0;0.0;924.9;1031.2;;0.0;0.5
MqO;2019-01-01 05:00:00+00:00;-1.9;-1.9;100.0;0.0;924.1;1030.4;;0.0;0.3
MqO;2019-01-01 06:00:00+00:00;-2.0;-2.3;100.0;0.0;924.1;1030.4;;0.0;0.9
MqO;2019-01-01 07:00:00+00:00;-2.6;-2.8;100.0;0.0;924.0;1030.2;;0.0;0.5
MqO;2019-01-01 08:00:00+00:00;-2.0;-0.9;100.0;0.0;924.0;1030.3;;0.0;0.6
MqO;2019-01-01 09:00:00+00:00;-1.0;-0.4;100.0;0.0;923.9;1030.2;;0.5;1.2
MqO;2019-01-01 10:00:00+00:00;0.1;0.6;100.0;0.0;924.0;1030.2;;0.1;1.1
MqO;2019-01-01 11:00:00+00:00;1.4;1.9;100.0;0.0;923.8;1030.0;;0.0;0.6
MqO;2019-01-01 12:00:00+00:00;2.3;2.5;100.0;0.0;923.3;1029.5;;0.4;1.0
MqO;2019-01-01 13:00:00+00:00;2.4;2.0;97.6;0.0;922.8;1029.0;;0.3;1.5
MqO;2019-01-01 14:00:00+00:00;2.8;1.8;94.4;0.0;922.9;1029.0;;0.9;1.5
MqO;2019-01-01 15:00:00+00:00;2.1;1.5;96.5;0.0;923.0;1029.1;;0.2;2.1
MqO;2019-01-01 16:00:00+00:00;1.4;1.2;99.7;0.0;923.2;1029.4;;0.0;2.5
MqO;2019-01-01 17:00:00+00:00;1.3;1.1;98.9;0.0;923.4;1029.6;;0.0;2.9
MqO;2019-01-01 18:00:00+00:00;1.4;1.0;97.5;0.0;923.6;1029.8;;0.0;3.2
MqO;2019-01-01 19:00:00+00:00;1.4;0.7;95.6;0.0;923.7;1029.9;;0.0;2.2
MqO;2019-01-01 20:00:00+00:00;1.3;0.4;95.5;0.0;923.7;1029.9;;0.0;3.3
MqO;2019-01-01 21:00:00+00:00;1.0;0.5;96.4;0.0;923.8;1030.0;;0.0;3.5
MqO;2019-01-01 22:00:00+00:00;1.2;-0.3;92.0;0.0;923.3;1029.5;;0.0;4.0
MqO;2019-01-01 23:00:00+00:00;1.5;-0.4;86.8;0.0;922.8;1029.0;;0.0;3.1
MqO;2019-01-02 00:00:00+00:00;1.5;0.1;88.9;0.0;922.6;1028.8;;0.0;2.4
MqO;2019-01-02 01:00:00+00:00;0.6;0.4;97.7;0.1;922.6;1028.7;;0.0;3.4
MqO;2019-01-02 02:00:00+00:00;1.0;0.2;94.9;0.4;922.5;1028.6;;0.0;4.4
MqO;2019-01-02 03:00:00+00:00;0.8;0.3;95.7;0.0;922.4;1028.5;;0.0;5.9
MqO;2019-01-02 04:00:00+00:00;0.3;-0.8;96.3;0.5;922.5;1028.6;;0.0;4.6
MqO;2019-01-02 05:00:00+00:00;0.3;-0.5;91.3;0.4;922.2;1028.3;;0.0;4.0
MqO;2019-01-02 06:00:00+00:00;-0.7;-2.5;95.1;0.9;922.9;1029.1;;0.0;4.7
MqO;2019-01-02 07:00:00+00:00;-1.5;-3.7;90.8;0.0;923.9;1030.1;;0.0;2.5
MqO;2019-01-02 08:00:00+00:00;-1.8;-3.7;86.5;0.0;924.4;1030.7;;0.0;1.7
MqO;2019-01-02 09:00:00+00:00;-1.7;-5.6;80.3;0.0;924.7;1031.0;;0.0;1.8
MqO;2019-01-02 10:00:00+00:00;-1.5;-6.4;71.5;0.0;925.0;1031.3;;0.0;2.3
MqO;2019-01-02 11:00:00+00:00;-1.5;-5.9;68.7;0.0;924.9;1031.3;;0.0;3.3
MqO;2019-01-02 12:00:00+00:00;-1.7;-5.0;76.3;0.0;924.3;1030.6;;0.0;3.6
MqO;2019-01-02 13:00:00+00:00;-1.7;-5.0;78.0;0.0;924.0;1030.2;;0.0;4.0
MqO;2019-01-02 14:00:00+00:00;-1.5;-5.1;76.9;0.0;923.9;1030.2;;0.0;4.5
MqO;2019-01-02 15:00:00+00:00;-1.6;-5.0;78.1;0.0;924.2;1030.5;;0.0;4.5
MqO;2019-01-02 16:00:00+00:00;-1.7;-4.7;78.8;0.0;924.5;1030.8;;0.0;3.8
MqO;2019-01-02 17:00:00+00:00;-2.1;-4.1;84.9;0.1;924.6;1030.9;;0.0;4.2
MqO;2019-01-02 18:00:00+00:00;-2.0;-4.8;83.3;0.0;925.2;1031.6;;0.0;5.5
MqO;2019-01-02 19:00:00+00:00;-1.9;-5.2;79.1;0.0;926.0;1032.4;;0.0;2.1
MqO;2019-01-02 20:00:00+00:00;-2.8;-3.7;93.5;2.3;926.1;1032.6;;0.0;1.7
MqO;2019-01-02 21:00:00+00:00;-3.7;-4.2;96.5;0.8;926.6;1033.1;;0.0;2.2
MqO;2019-01-02 22:00:00+00:00;-3.6;-5.1;91.9;0.0;926.8;1033.3;;0.0;1.1
MqO;2019-01-02 23:00:00+00:00;-3.5;-5.4;86.7;0.0;926.9;1033.4;;0.0;0.8
MqO;2019-01-03 00:00:00+00:00;-4.1;-6.0;88.6;0.0;927.0;1033.5;;0.0;0.6
MqO;2019-01-03 01:00:00+00:00;-5.5;-7.0;93.5;0.0;927.1;1033.7;;0.0;1.0
MqO;2019-01-03 02:00:00+00:00;-5.4;-6.8;92.8;0.0;927.5;1034.1;;0.0;0.6
MqO;2019-01-03 03:00:00+00:00;-6.0;-7.3;93.6;0.0;927.3;1033.8;;0.0;0.9
MqO;2019-01-03 04:00:00+00:00;-7.4;-8.5;96.5;0.0;927.1;1033.6;;0.0;0.7
MqO;2019-01-03 05:00:00+00:00;-8.4;-9.5;96.7;0.0;927.2;1033.7;;0.0;0.5
MqO;2019-01-03 06:00:00+00:00;-9.6;-10.6;95.8;0.0;927.2;1033.8;;0.0;0.6
MqO;2019-01-03 07:00:00+00:00;-9.9;-10.6;95.2;0.0;927.2;1033.8;;0.0;0.4
MqO;2019-01-03 08:00:00+00:00;-10.1;-11.1;94.5;0.0;927.6;1034.2;;0.0;0.5
MqO;2019-01-03 09:00:00+00:00;-10.1;-10.4;94.3;0.0;927.9;1034.5;;0.9;0.6
MqO;2019-01-03 10:00:00+00:00;-8.8;-9.5;93.4;0.0;927.8;1034.4;;0.4;0.3
MqO;2019-01-03 11:00:00+00:00;-7.4;-8.9;87.4;0.0;927.5;1034.1;;0.8;0.3
MqO;2019-01-03 12:00:00+00:00;-6.0;-8.7;81.0;0.0;926.9;1033.4;;0.9;0.3
MqO;2019-01-03 13:00:00+00:00;-5.3;-7.6;79.2;0.0;926.6;1033.1;;0.5;0.6
MqO;2019-01-03 14:00:00+00:00;-4.2;-7.8;77.1;0.0;926.6;1033.1;;0.1;0.8
MqO;2019-01-03 15:00:00+00:00;-4.1;-9.2;73.3;0.0;926.9;1033.4;;0.0;0.7
MqO;2019-01-03 16:00:00+00:00;-4.5;-7.5;75.7;0.0;927.1;1033.6;;0.0;0.9
MqO;2019-01-03 17:00:00+00:00;-4.4;-7.1;80.0;0.0;927.0;1033.5;;0.0;0.8
MqO;2019-01-03 18:00:00+00:00;-4.6;-7.2;82.0;0.0;926.7;1033.2;;0.0;0.8
MqO;2019-01-03 19:00:00+00:00;-4.5;-7.4;80.1;0.0;926.8;1033.3;;0.0;0.8
MqO;2019-01-03 20:00:00+00:00;-4.9;-7.0;83.8;0.0;927.1;1033.6;;0.0;0.5
MqO;2019-01-03 21:00:00+00:00;-4.7;-6.5;86.7;0.0;927.3;1033.9;;0.0;0.5
MqO;2019-01-03 22:00:00+00:00;-4.6;-6.6;85.9;0.0;927.2;1033.8;;0.0;1.1
MqO;2019-01-03 23:00:00+00:00;-4.4;-7.2;83.2;0.0;927.2;1033.8;;0.0;1.5
MqO;2019-01-04 00:00:00+00:00;-5.1;-7.7;83.0;0.0;927.1;1033.6;;0.0;1.0
